"asset_path","bytes","sha256","status"
"assets\migration-manifest.csv","14269","0E2BDAFCCFCC7082FE97B9206FB008B398E4A85A284E894A53DAC91739A6B2AE","reference or inventory"
"assets\README.md","3326","C6803C464C463065CDB7B6193F2D5BD24FC209BD826AD8D0F6BE1A5C6A5EEE34","reference or inventory"
"assets\archive\duplicates\视觉参考素材\动态显现示例.mp4","12266544","B848F6D152394444329C45486477A3BFB9779D03A3C9596899A72C7E4BDF082E","archived source"
"assets\archive\duplicates\视觉参考素材\我的河 · 三河总览HiFi-未来分叉态.png","2297319","E9F7B7D3341FBDAEA32562F0380B0661AC859A1179B9506DABD6B5EC7F1CA2A7","archived source"
"assets\archive\duplicates\视觉参考素材\我的河 · 三河总览HiFi-证明详情态.png","2268600","A9EFAB616C0D1101E6B2FB15ADAABDF76AF668DC0A10E99C85173DE10CE1EEDE","archived source"
"assets\archive\duplicates\视觉参考素材\我的河 · 三河总览HiFi-Hover态.png","2133505","4777C9D21A7C8E623C663095973DF536291DB9CC8CBD3BBC41B6C637A7527B1E","archived source"
"assets\archive\duplicates\视觉参考素材\我的河 · 三河总览HiFi.png","2186221","20F7DEDF4EAB20F5171CFD841927A46F83AAD5AFC1C2C983AF459DB645DF74EE","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\01_main_river_segments.svg","1194","6FC5637F75514AAB39A7E463227ED7BCBE92EA63E19E331863BDEA803679C3E5","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\02_tributaries.svg","1267","F8BD95D2C569C2BF42BD71FCD5BBD953721A4935BC5E80545EE57CBF2AC4F876","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\03_river_confluence.svg","1367","071EEFAD1C7BC656413940CE40F6E8E887A1A348A5C8683EC57AF30FF5425BEF","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\04_river_strength_states.svg","1258","5FA92B6E856DDC7757CEF8091B26533C072FA9771926F22F248A964594E3879D","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\05_milestone_markers.svg","1853","155E0D0A6E69177C23F3B51981C4F851D96D3C217A9E320E44AF8DEFDE59DF70","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\06_evidence_anchors.svg","1233","84BD460700B658C42EABF580D42A6F25B4DB3E3547587010327A47B45BD3B013","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\07_unexplored_mist.svg","1067","2B7D6585CC4B74F04A82EA8627A90706FC1A7D9A469D7843646F433FC635B5A2","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\08_future_river_forks.svg","1185","99D20B26DE3861E13667148324BDAA4C1322CB2BB2B764F9E083B8757FBDBCEB","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\09_topographic_terrain.svg","1845","F84C9052D1D0E496F61C390A101F6032C54FA886808E3D08D4CD4DA1F5FBE748","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\10_transition_elements.svg","1314","EBF8E6A794DF761155417450321084C899BE8BE52008654F64987E12A06217D7","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\11_landmarks.svg","1589","4D5FE314E839E3DC08ACCD1ECE7DDEBE053B75BFB2BFA1E7B44E2B16A2531A85","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\12_clarity_states.svg","1951","CF8730F5316ACCD957A750611F3A74574250E46A1E52159FA97F606E622BF6A0","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\palette.json","234","A1E2A2D1EB4B01C116E07ED6549C6544C1A4B3A3C7F1DC9E402B3FD204C8881D","archived source"
"assets\archive\duplicates\life_rivers_vector_assets\README.md","527","292BF7D6ED603AC3F0031D13BA5F70C3FC4CCEF064DFC69509AD2BCED928F07A","archived source"
"assets\archive\packages\人生三河-阶段7A线框包.zip","22795","C597769A7F235A37EBD75C08D92541AC85ABE76D82C6708E3EF4E2497A24FDC4","archived source"
"assets\archive\packages\人生三河-阶段7B线框包.zip","26331","8382DC7A1B088258A10D7DDE4294E6B75EA8A93859AF71E0928BA810EF7A22C8","archived source"
"assets\archive\packages\context-handoff.zip","18982","080B56D132ADFD96A23E05D3EACB70C3EB822E35DB869FFA51FB25A3A163C901","archived source"
"assets\archive\packages\life_rivers_vector_assets.zip","8422","19B8A9CACAB4D88AF207ED14A9417B5FCC0A2533F2ECAA943115C953137A061C","archived source"
"assets\vector-components\v0.1\01_main_river_segments.svg","1194","6FC5637F75514AAB39A7E463227ED7BCBE92EA63E19E331863BDEA803679C3E5","reference or inventory"
"assets\vector-components\v0.1\02_tributaries.svg","1267","F8BD95D2C569C2BF42BD71FCD5BBD953721A4935BC5E80545EE57CBF2AC4F876","reference or inventory"
"assets\vector-components\v0.1\03_river_confluence.svg","1367","071EEFAD1C7BC656413940CE40F6E8E887A1A348A5C8683EC57AF30FF5425BEF","reference or inventory"
"assets\vector-components\v0.1\04_river_strength_states.svg","1258","5FA92B6E856DDC7757CEF8091B26533C072FA9771926F22F248A964594E3879D","reference or inventory"
"assets\vector-components\v0.1\05_milestone_markers.svg","1853","155E0D0A6E69177C23F3B51981C4F851D96D3C217A9E320E44AF8DEFDE59DF70","reference or inventory"
"assets\vector-components\v0.1\06_evidence_anchors.svg","1233","84BD460700B658C42EABF580D42A6F25B4DB3E3547587010327A47B45BD3B013","reference or inventory"
"assets\vector-components\v0.1\07_unexplored_mist.svg","1067","2B7D6585CC4B74F04A82EA8627A90706FC1A7D9A469D7843646F433FC635B5A2","reference or inventory"
"assets\vector-components\v0.1\08_future_river_forks.svg","1185","99D20B26DE3861E13667148324BDAA4C1322CB2BB2B764F9E083B8757FBDBCEB","reference or inventory"
"assets\vector-components\v0.1\09_topographic_terrain.svg","1845","F84C9052D1D0E496F61C390A101F6032C54FA886808E3D08D4CD4DA1F5FBE748","reference or inventory"
"assets\vector-components\v0.1\10_transition_elements.svg","1314","EBF8E6A794DF761155417450321084C899BE8BE52008654F64987E12A06217D7","reference or inventory"
"assets\vector-components\v0.1\11_landmarks.svg","1589","4D5FE314E839E3DC08ACCD1ECE7DDEBE053B75BFB2BFA1E7B44E2B16A2531A85","reference or inventory"
"assets\vector-components\v0.1\12_clarity_states.svg","1951","CF8730F5316ACCD957A750611F3A74574250E46A1E52159FA97F606E622BF6A0","reference or inventory"
"assets\vector-components\v0.1\palette.json","234","A1E2A2D1EB4B01C116E07ED6549C6544C1A4B3A3C7F1DC9E402B3FD204C8881D","reference or inventory"
"assets\vector-components\v0.1\README.md","527","292BF7D6ED603AC3F0031D13BA5F70C3FC4CCEF064DFC69509AD2BCED928F07A","reference or inventory"
"assets\references\编辑感人生三河地图.png","2081678","9A7CF2BF5DC22234CD01B1607593B751D8DD32A8298463ADEC0AD691CC0A1835","reference or inventory"
"assets\references\人生三河地图.png","2391462","53C2EE0C7A3EF388FE79551854DE405D2AB693A7E5AF8835D1C87614BF750AB1","reference or inventory"
"assets\references\人生三河地图雾版.png","1899045","C8FB9FADAC4944CBEF12650A2824A2A408C354E8BB98B5D06F63E7EF6DF66880","reference or inventory"
"assets\references\视觉语法素材板.png","2382032","557AFB8B7F026C60C31BBA791D2063D7B2BDC5C1AB8FAB956886128F229247AB","reference or inventory"
"assets\references\unselected\我的河 · 三河总览cand1.png","2416001","D1B527E6171D860341FC3B2E1CDAD11669433E7BF813CBEF17A0571C6E152AA3","reference or inventory"
"assets\references\unselected\我的河 · 三河总览cand2.png","2145220","BEBB5FCE90B25549C178B975E6CB54D44DF7B91920158E357DFF05A2EB508A34","reference or inventory"
"assets\three-rivers\我的河 · 三河总览HiFi-未来分叉态.png","2297319","E9F7B7D3341FBDAEA32562F0380B0661AC859A1179B9506DABD6B5EC7F1CA2A7","reference or inventory"
"assets\three-rivers\我的河 · 三河总览HiFi-证明详情态.png","2268600","A9EFAB616C0D1101E6B2FB15ADAABDF76AF668DC0A10E99C85173DE10CE1EEDE","reference or inventory"
"assets\three-rivers\我的河 · 三河总览HiFi-Hover态.png","2133505","4777C9D21A7C8E623C663095973DF536291DB9CC8CBD3BBC41B6C637A7527B1E","reference or inventory"
"assets\three-rivers\我的河 · 三河总览HiFi.png","2186221","20F7DEDF4EAB20F5171CFD841927A46F83AAD5AFC1C2C983AF459DB645DF74EE","reference or inventory"
"assets\three-rivers\rivers-v2.svg","101400","8BDA2D4914A271F5C360B4E50AA7CB826784B70FB03F966527866CE1F1F483E8","implementation; visual acceptance pending"
"assets\three-rivers\terrain-v1.png","2312379","D8B18B8A822D828E66D40C7571659209885D254115F21A3D26A84236734FB910","implementation; visual acceptance pending"
"assets\motion\动态显现示例.mp4","12266544","B848F6D152394444329C45486477A3BFB9779D03A3C9596899A72C7E4BDF082E","reference or inventory"
"assets\fonts\LXGWWenKaiLite-Regular.ttf","13872424","140C99BA4E28E817CEC49BF82A0C5FCDC4FE633FB9DFDA16D0EE8D59A8545F15","implementation; visual acceptance pending"
"assets\fonts\OFL.txt","4448","C38B1994A5E48AC30AC7D1DA7D0409FD8FD8127DFE28A13D6E787D5B1EF34A5E","license"
"assets\three-rivers\rivers-watercolor-hires.svg","1193902","77A34C2F7D44448CC127DD8FF17D6C0EB0EB924B859B001EE48446B1D2D9645C","implementation; visual acceptance pending"
"assets\three-rivers\rivers-watercolor-hires-clean.svg","1304982","6ED0A3A19A5860B538847BD058E1D7B9B9BB7DCADC249ECAC898D18BC6E519D0","derived runtime asset; visual acceptance pending"
"assets\three-rivers\rivers-watercolor-hires-clean.png","978350","3C9498345BD1EE47ED37E48CA229627B121E661E244EDA3A76F666B471ADB758","derived source asset"
"assets\three-rivers\rivers-watercolor-hires-clean.json","425","4D862612F30F8C46C1D4112D34647FD18916080372D83DBF93BE01B8BEC71700","processing metadata"
