"original_path","current_path","sha256","action"
"阶段7C-01-MVP端到端总览.svg","docs\archive\阶段7C\阶段7C-01-MVP端到端总览.svg","C7D17B2BCCC1CDAB49DC16ECDEF565CE35482A9BEAA32E1972E058663110210F","move; verified byte-identical"
"阶段7C-02-黄金路径流程.svg","docs\archive\阶段7C\阶段7C-02-黄金路径流程.svg","A15D92EB01F887AEACC9B822207AA2A499B5512802ED21D444F92D7620E8FEB2","move; verified byte-identical"
"阶段7C图示说明.md","docs\archive\阶段7C\阶段7C图示说明.md","9ABDA11F7AA313D0C79A70DE29FEDF277D6F678F920E77C71F9ED6314137CB9D","move; verified byte-identical"
"人生三河-阶段7A-中文可点击原型.html","docs\archive\阶段7A\人生三河-阶段7A-中文可点击原型.html","0EE8648418FA649EFBA268F561BB0126539A79E70680A862FBBC05A45B4F0AF1","move; verified byte-identical"
"人生三河-阶段7A.md","docs\archive\阶段7A\人生三河-阶段7A.md","5F803172F2B3D57C9D573345C2D37DEEF81CDAD5443883C982FC171F051DFB3C","move; verified byte-identical"
"人生三河-阶段7A线框包.zip","assets\archive\packages\人生三河-阶段7A线框包.zip","C597769A7F235A37EBD75C08D92541AC85ABE76D82C6708E3EF4E2497A24FDC4","move; verified byte-identical"
"人生三河-阶段7B-中文可点击原型..svg","docs\archive\阶段7B\duplicates\九页静态总览-根目录重复件.svg","243010AD369A05F61CAEC462152EA5F33116E4D595CAEA9369C1364DD0954F9F","move; verified byte-identical"
"人生三河-阶段7B.md","docs\archive\阶段7B\duplicates\根目录阶段7B说明.md","A7853E49615CA7A3A8A4E94BBD21A4CB2B04C42ABF12F1B1C7DF8D36753EC50F","move; verified byte-identical"
"人生三河-阶段7B线框包.zip","assets\archive\packages\人生三河-阶段7B线框包.zip","8382DC7A1B088258A10D7DDE4294E6B75EA8A93859AF71E0928BA810EF7A22C8","move; verified byte-identical"
"context-handoff.zip","assets\archive\packages\context-handoff.zip","080B56D132ADFD96A23E05D3EACB70C3EB822E35DB869FFA51FB25A3A163C901","move; verified byte-identical"
"life_rivers_vector_assets.zip","assets\archive\packages\life_rivers_vector_assets.zip","19B8A9CACAB4D88AF207ED14A9417B5FCC0A2533F2ECAA943115C953137A061C","move; verified byte-identical"
"Personal Moat · Page-level IA V1.pdf","docs\archive\阶段5-6\Personal Moat · Page-level IA V1.pdf","A0AA06341B44CE61F0AA4DE586F1EA39A74CBE666A39A0713F9B36CCEE6E7B2E","move; verified byte-identical"
"Personal Moat · Page-level User Flow V1.pdf","docs\archive\阶段5-6\Personal Moat · Page-level User Flow V1.pdf","0E7B88B90D59734CD4C7DF1C0CE5162C31D13E216D0989D29982BB85DDAA7999","move; verified byte-identical"
"Personal_Moat_V0.1.html","docs\archive\产品定义-2026-09-06\Personal_Moat_V0.1.html","DB6E3FDCB131AAEB3CD6F8BFBA95840B0E0817223C2AD2B4B1FFA86C0670EAB3","move; verified byte-identical"
"Personal_Moat_V0.1.md","docs\archive\产品定义-2026-09-06\Personal_Moat_V0.1.md","472FBACFBC3D6979F7791A24D7AABC5F6832DAA267BF37840091EB5226603CB9","move; verified byte-identical"
"视觉参考素材\编辑感人生三河地图.png","assets\references\编辑感人生三河地图.png","9A7CF2BF5DC22234CD01B1607593B751D8DD32A8298463ADEC0AD691CC0A1835","move; verified byte-identical"
"视觉参考素材\动态显现示例.mp4","assets\archive\duplicates\视觉参考素材\动态显现示例.mp4","B848F6D152394444329C45486477A3BFB9779D03A3C9596899A72C7E4BDF082E","move; verified byte-identical"
"视觉参考素材\人生三河地图.png","assets\references\人生三河地图.png","53C2EE0C7A3EF388FE79551854DE405D2AB693A7E5AF8835D1C87614BF750AB1","move; verified byte-identical"
"视觉参考素材\人生三河地图雾版.png","assets\references\人生三河地图雾版.png","C8FB9FADAC4944CBEF12650A2824A2A408C354E8BB98B5D06F63E7EF6DF66880","move; verified byte-identical"
"视觉参考素材\视觉语法素材板.png","assets\references\视觉语法素材板.png","557AFB8B7F026C60C31BBA791D2063D7B2BDC5C1AB8FAB956886128F229247AB","move; verified byte-identical"
"视觉参考素材\我的河 · 三河总览｜阶段 8 交互规范 V1.0.md","docs\archive\阶段8\我的河 · 三河总览｜阶段 8 交互规范 V1.0.md","08E153C3F7087D2ABF8E48E47B73BE998DA989A4AE210D514852B0BF2E146274","move; verified byte-identical"
"视觉参考素材\我的河 · 三河总览HiFi-未来分叉态.png","assets\archive\duplicates\视觉参考素材\我的河 · 三河总览HiFi-未来分叉态.png","E9F7B7D3341FBDAEA32562F0380B0661AC859A1179B9506DABD6B5EC7F1CA2A7","move; verified byte-identical"
"视觉参考素材\我的河 · 三河总览HiFi-证明详情态.png","assets\archive\duplicates\视觉参考素材\我的河 · 三河总览HiFi-证明详情态.png","A9EFAB616C0D1101E6B2FB15ADAABDF76AF668DC0A10E99C85173DE10CE1EEDE","move; verified byte-identical"
"视觉参考素材\我的河 · 三河总览HiFi-Hover态.png","assets\archive\duplicates\视觉参考素材\我的河 · 三河总览HiFi-Hover态.png","4777C9D21A7C8E623C663095973DF536291DB9CC8CBD3BBC41B6C637A7527B1E","move; verified byte-identical"
"视觉参考素材\我的河 · 三河总览HiFi.png","assets\archive\duplicates\视觉参考素材\我的河 · 三河总览HiFi.png","20F7DEDF4EAB20F5171CFD841927A46F83AAD5AFC1C2C983AF459DB645DF74EE","move; verified byte-identical"
"视觉参考素材\unselected\我的河 · 三河总览cand1.png","assets\references\unselected\我的河 · 三河总览cand1.png","D1B527E6171D860341FC3B2E1CDAD11669433E7BF813CBEF17A0571C6E152AA3","move; verified byte-identical"
"视觉参考素材\unselected\我的河 · 三河总览cand2.png","assets\references\unselected\我的河 · 三河总览cand2.png","BEBB5FCE90B25549C178B975E6CB54D44DF7B91920158E357DFF05A2EB508A34","move; verified byte-identical"
