original_path,type,bytes,sha256
AGENTS.md,md,5788,bdf6949f1cb74a602aaf767c6acf6157d5529972fe6ce44b6c8f7d12efc0f514
assets/README.md,md,3326,c6803c464c463065cdb7b6193f2d5bd24fc209bd826ad8d0f6be1a5c6a5eee34
context-handoff.zip,zip,18982,080b56d132adfd96a23e05d3eacb70c3eb822e35db869ffa51fb25a3a163c901
docs/DESIGN_CONTEXT.md,md,6241,a62bd48e17625115628d47fc69504bedde81288b35fdb13787bf3db810f3003a
docs/INTERACTION_SPEC.md,md,8109,5009dd6123c9d0d256193b83623bec96d2786dcfc5e466e3a1a52299ebf7a5fc
docs/MOTION_SPEC.md,md,7664,2614e32fef090d24490dce9bb3b43efeefb0aae642d3beebe55a122c7dd691e5
docs/PRODUCT_DECISIONS.md,md,6552,5193a5461e620bec5c82df43b769714360d085887afa450c1c8e80421ff1e0c2
life_rivers_vector_assets/01_main_river_segments.svg,svg,1194,6fc5637f75514aab39a7e463227ed7bcbe92ea63e19e331863bdea803679c3e5
life_rivers_vector_assets/01_main_river_segments.svgZone.Identifier,download-metadata,119,905aef35aaad4208e34b593f1d490e8cdb26fce0426f9e8d93cf7573caf80a63
life_rivers_vector_assets/02_tributaries.svg,svg,1267,f8bd95d2c569c2bf42bd71fcd5bbd953721a4935bc5e80545ee57cbf2ac4f876
life_rivers_vector_assets/02_tributaries.svgZone.Identifier,download-metadata,119,905aef35aaad4208e34b593f1d490e8cdb26fce0426f9e8d93cf7573caf80a63
life_rivers_vector_assets/03_river_confluence.svg,svg,1367,071eefad1c7bc656413940ce40f6e8e887a1a348a5c8683ec57af30ff5425bef
life_rivers_vector_assets/03_river_confluence.svgZone.Identifier,download-metadata,119,905aef35aaad4208e34b593f1d490e8cdb26fce0426f9e8d93cf7573caf80a63
life_rivers_vector_assets/04_river_strength_states.svg,svg,1258,5fa92b6e856ddc7757cef8091b26533c072fa9771926f22f248a964594e3879d
life_rivers_vector_assets/04_river_strength_states.svgZone.Identifier,download-metadata,119,905aef35aaad4208e34b593f1d490e8cdb26fce0426f9e8d93cf7573caf80a63
life_rivers_vector_assets/05_milestone_markers.svg,svg,1853,155e0d0a6e69177c23f3b51981c4f851d96d3c217a9e320e44af8defde59df70
life_rivers_vector_assets/05_milestone_markers.svgZone.Identifier,download-metadata,119,905aef35aaad4208e34b593f1d490e8cdb26fce0426f9e8d93cf7573caf80a63
life_rivers_vector_assets/06_evidence_anchors.svg,svg,1233,84bd460700b658c42eabf580d42a6f25b4db3e3547587010327a47b45bd3b013
life_rivers_vector_assets/06_evidence_anchors.svgZone.Identifier,download-metadata,119,905aef35aaad4208e34b593f1d490e8cdb26fce0426f9e8d93cf7573caf80a63
life_rivers_vector_assets/07_unexplored_mist.svg,svg,1067,2b7d6585cc4b74f04a82ea8627a90706fc1a7d9a469d7843646f433fc635b5a2
life_rivers_vector_assets/07_unexplored_mist.svgZone.Identifier,download-metadata,119,905aef35aaad4208e34b593f1d490e8cdb26fce0426f9e8d93cf7573caf80a63
life_rivers_vector_assets/08_future_river_forks.svg,svg,1185,99d20b26de3861e13667148324bdaa4c1322cb2bb2b764f9e083b8757fbdbceb
